customer_id,tenure_months,monthly_charges,support_tickets,late_payments,usage_hours,contract,payment_method,region,plan,support_plan,churn,annual_value,churn_probability,risk_level,recommended_action
CUST103976,47,5760.59,3,0,19.2,Month-to-Month,UPI,West,Basic,Yes,1,69127.08,0.9999999999669487,High,Priority retention call + targeted offer
CUST102938,65,5892.58,0,2,80.7,Month-to-Month,Debit Card,East,Standard,No,1,70710.96,0.9999999999666149,High,Priority retention call + targeted offer
CUST100064,30,5764.13,3,1,50.0,Month-to-Month,Credit Card,East,Premium,No,1,69169.56,0.9999999999628129,High,Priority retention call + targeted offer
CUST100046,33,5729.63,1,1,36.5,Month-to-Month,Credit Card,South,Premium,No,1,68755.56,0.9999999999584399,High,Priority retention call + targeted offer
CUST103889,60,5780.31,2,0,43.9,Month-to-Month,Debit Card,North,Basic,Yes,1,69363.72,0.9999999999504525,High,Priority retention call + targeted offer
CUST105788,40,5718.45,1,1,26.3,Month-to-Month,UPI,North,Standard,No,1,68621.4,0.9999999999497611,High,Priority retention call + targeted offer
CUST101250,18,5791.4,2,1,59.6,One Year,UPI,West,Standard,No,1,69496.8,0.9999999999410931,High,Priority retention call + targeted offer
CUST102827,68,5852.37,2,1,81.3,Month-to-Month,Net Banking,West,Premium,No,1,70228.44,0.9999999999325659,High,Priority retention call + targeted offer
CUST103566,31,5652.77,4,1,36.1,Month-to-Month,UPI,West,Standard,No,1,67833.24,0.9999999999116929,High,Priority retention call + targeted offer
CUST103925,42,5663.45,3,1,36.3,Month-to-Month,Credit Card,North,Standard,Yes,1,67961.4,0.9999999998989824,High,Priority retention call + targeted offer
CUST101103,11,5618.73,6,3,29.3,One Year,Net Banking,South,Basic,No,1,67424.76,0.9999999998937359,High,Priority retention call + targeted offer
CUST105398,68,5670.13,0,2,35.3,Month-to-Month,Cash,West,Premium,No,1,68041.56,0.9999999998864699,High,Priority retention call + targeted offer
CUST105141,2,5553.65,2,0,13.1,Month-to-Month,UPI,West,Basic,Yes,1,66643.8,0.9999999998853526,High,Priority retention call + targeted offer
CUST104986,70,5696.57,3,3,11.6,One Year,Net Banking,South,Basic,Yes,1,68358.84,0.9999999998797668,High,Priority retention call + targeted offer
CUST101799,38,5666.02,3,0,31.8,Month-to-Month,UPI,East,Standard,Yes,1,67992.24,0.999999999876034,High,Priority retention call + targeted offer
CUST105614,42,5599.51,1,1,28.5,Month-to-Month,UPI,West,Basic,No,1,67194.12,0.9999999998755973,High,Priority retention call + targeted offer
CUST105751,16,5708.46,2,1,75.5,Month-to-Month,Net Banking,West,Standard,No,1,68501.52,0.9999999998714608,High,Priority retention call + targeted offer
CUST102164,69,5743.01,0,0,64.4,Month-to-Month,Cash,North,Standard,No,1,68916.12,0.9999999998682327,High,Priority retention call + targeted offer
CUST104852,8,5565.24,3,1,62.3,Month-to-Month,Cash,South,Basic,No,1,66782.88,0.9999999998559999,High,Priority retention call + targeted offer
CUST102496,58,5716.2,0,0,53.5,Month-to-Month,UPI,West,Standard,Yes,1,68594.4,0.9999999998528388,High,Priority retention call + targeted offer
CUST100285,68,5657.5,2,1,37.3,Month-to-Month,Credit Card,East,Premium,No,1,67890.0,0.9999999998496962,High,Priority retention call + targeted offer
CUST101935,12,5568.81,2,1,27.3,Month-to-Month,Net Banking,South,Basic,No,1,66825.72,0.9999999998483933,High,Priority retention call + targeted offer
CUST102762,27,5621.21,5,0,50.5,Month-to-Month,Cash,West,Standard,No,1,67454.52,0.9999999998368281,High,Priority retention call + targeted offer
CUST100898,6,5557.79,4,0,38.1,Month-to-Month,UPI,West,Standard,No,1,66693.48,0.9999999998138487,High,Priority retention call + targeted offer
CUST103236,27,5491.53,3,2,31.3,Month-to-Month,Debit Card,South,Basic,No,1,65898.36,0.9999999997801512,High,Priority retention call + targeted offer
CUST105399,63,5661.74,1,0,50.7,Month-to-Month,Credit Card,North,Standard,Yes,1,67940.88,0.9999999997785012,High,Priority retention call + targeted offer
CUST104736,5,5557.02,1,2,22.4,Two Year,Cash,West,Basic,No,1,66684.24,0.9999999997780602,High,Priority retention call + targeted offer
CUST101157,62,5704.19,3,2,50.1,Two Year,UPI,West,Premium,Yes,1,68450.28,0.9999999997758207,High,Priority retention call + targeted offer
CUST105677,27,5606.72,1,0,53.5,Month-to-Month,UPI,East,Standard,No,1,67280.64,0.999999999760754,High,Priority retention call + targeted offer
CUST102863,45,5699.92,4,0,45.2,One Year,Net Banking,West,Basic,Yes,1,68399.04,0.9999999997606068,High,Priority retention call + targeted offer
CUST102236,18,5654.96,3,0,65.3,Two Year,Debit Card,South,Basic,No,1,67859.52,0.9999999997467262,High,Priority retention call + targeted offer
CUST102022,48,5471.53,0,4,33.7,Month-to-Month,Credit Card,North,Basic,No,1,65658.36,0.9999999997442846,High,Priority retention call + targeted offer
CUST103107,27,5546.48,3,1,25.4,Month-to-Month,Net Banking,West,Basic,Yes,1,66557.76,0.9999999997364559,High,Priority retention call + targeted offer
CUST101270,27,5532.09,3,1,58.4,Month-to-Month,Credit Card,North,Basic,Yes,1,66385.08,0.9999999997361961,High,Priority retention call + targeted offer
CUST100135,22,5484.38,1,1,8.9,Month-to-Month,Credit Card,East,Premium,No,1,65812.56,0.9999999997205091,High,Priority retention call + targeted offer
CUST100368,2,5467.98,1,1,39.5,Month-to-Month,UPI,South,Basic,Yes,1,65615.76,0.9999999997167972,High,Priority retention call + targeted offer
CUST102243,9,5527.19,3,0,42.6,Month-to-Month,UPI,West,Premium,Yes,1,66326.28,0.999999999716533,High,Priority retention call + targeted offer
CUST103980,33,5551.99,2,1,43.7,Month-to-Month,UPI,North,Standard,Yes,1,66623.88,0.9999999997132816,High,Priority retention call + targeted offer
CUST104343,19,5578.14,3,4,51.8,Two Year,Net Banking,South,Basic,No,1,66937.68,0.9999999997075255,High,Priority retention call + targeted offer
CUST103438,68,5532.41,1,2,25.4,Month-to-Month,Debit Card,South,Basic,Yes,1,66388.92,0.9999999996959705,High,Priority retention call + targeted offer
CUST105564,7,5409.56,4,1,18.8,Month-to-Month,Credit Card,South,Basic,No,1,64914.72,0.9999999996898454,High,Priority retention call + targeted offer
CUST101070,49,5662.71,2,2,50.3,One Year,Net Banking,West,Premium,No,1,67952.52,0.9999999996856606,High,Priority retention call + targeted offer
CUST102300,20,5449.31,8,1,23.2,Month-to-Month,UPI,South,Standard,No,1,65391.72,0.9999999996807885,High,Priority retention call + targeted offer
CUST103419,21,5477.44,2,0,25.4,Month-to-Month,UPI,East,Basic,No,1,65729.28,0.999999999658854,High,Priority retention call + targeted offer
CUST105231,36,5605.38,3,0,44.4,Two Year,UPI,North,Basic,No,1,67264.56,0.9999999996512892,High,Priority retention call + targeted offer
CUST101971,67,5516.86,4,2,43.8,Month-to-Month,Credit Card,West,Premium,No,1,66202.32,0.9999999995823416,High,Priority retention call + targeted offer
CUST104110,1,5420.09,2,2,50.1,Month-to-Month,UPI,South,Standard,No,1,65041.08,0.9999999995062379,High,Priority retention call + targeted offer
CUST100532,12,5470.28,1,0,51.2,Month-to-Month,UPI,West,Basic,Yes,1,65643.36,0.9999999995047084,High,Priority retention call + targeted offer
CUST104919,38,5530.03,3,1,41.2,One Year,Credit Card,West,Basic,Yes,1,66360.36,0.9999999994739361,High,Priority retention call + targeted offer
CUST104898,55,5534.42,2,0,37.5,Month-to-Month,UPI,East,Standard,No,1,66413.04,0.9999999994648028,High,Priority retention call + targeted offer
CUST101374,64,5500.84,1,2,34.9,Month-to-Month,Cash,West,Standard,No,1,66010.08,0.9999999994474094,High,Priority retention call + targeted offer
CUST103145,40,5456.99,4,1,23.3,Month-to-Month,Net Banking,North,Basic,Yes,1,65483.88,0.9999999993829292,High,Priority retention call + targeted offer
CUST105931,40,5452.15,1,1,38.9,Month-to-Month,Debit Card,South,Basic,Yes,1,65425.8,0.9999999993751554,High,Priority retention call + targeted offer
CUST105425,18,5491.96,0,1,57.3,One Year,Credit Card,South,Basic,No,1,65903.52,0.9999999993486866,High,Priority retention call + targeted offer
CUST105029,17,5457.22,1,0,41.1,Month-to-Month,Debit Card,South,Premium,Yes,1,65486.64,0.9999999993327671,High,Priority retention call + targeted offer
CUST100507,18,5380.49,3,2,43.8,Month-to-Month,Credit Card,East,Basic,No,1,64565.88,0.9999999993313704,High,Priority retention call + targeted offer
CUST101256,16,5533.84,0,0,51.8,Month-to-Month,Net Banking,East,Standard,No,1,66406.08,0.999999999330413,High,Priority retention call + targeted offer
CUST104656,10,5374.03,1,4,66.8,Month-to-Month,Credit Card,South,Premium,No,1,64488.36,0.9999999993236586,High,Priority retention call + targeted offer
CUST101919,39,5440.84,1,3,44.2,Month-to-Month,UPI,West,Standard,Yes,1,65290.08,0.9999999993188002,High,Priority retention call + targeted offer
CUST100652,15,5435.57,2,1,58.0,Month-to-Month,Credit Card,East,Premium,No,1,65226.84,0.9999999992690978,High,Priority retention call + targeted offer
CUST104966,17,5442.65,3,2,42.0,One Year,UPI,South,Premium,No,1,65311.8,0.9999999992643149,High,Priority retention call + targeted offer
CUST102156,32,5433.41,2,0,44.3,Month-to-Month,Credit Card,South,Basic,Yes,1,65200.92,0.9999999992619859,High,Priority retention call + targeted offer
CUST105544,16,5448.35,2,3,58.4,One Year,UPI,South,Premium,No,1,65380.2,0.9999999992618187,High,Priority retention call + targeted offer
CUST102393,16,5424.85,3,0,51.4,Month-to-Month,Credit Card,South,Premium,No,1,65098.2,0.9999999992591739,High,Priority retention call + targeted offer
CUST103838,70,5478.19,4,2,38.9,Month-to-Month,Net Banking,West,Basic,No,1,65738.28,0.9999999992356761,High,Priority retention call + targeted offer
CUST100035,5,5434.54,1,0,44.1,Month-to-Month,Debit Card,South,Standard,Yes,1,65214.48,0.9999999991816653,High,Priority retention call + targeted offer
CUST105558,38,5459.4,0,1,43.3,Month-to-Month,UPI,East,Standard,Yes,1,65512.8,0.999999999079316,High,Priority retention call + targeted offer
CUST102432,12,5394.22,0,0,57.8,Month-to-Month,UPI,South,Basic,No,1,64730.64,0.9999999990694923,High,Priority retention call + targeted offer
CUST103120,45,5388.3,3,2,33.3,Month-to-Month,Credit Card,North,Standard,No,1,64659.6,0.9999999990512463,High,Priority retention call + targeted offer
CUST101214,6,5393.87,4,1,31.8,Month-to-Month,Net Banking,South,Standard,No,1,64726.44,0.9999999990440636,High,Priority retention call + targeted offer
CUST105604,44,5431.51,1,2,48.2,Month-to-Month,UPI,East,Premium,Yes,1,65178.12,0.9999999990352848,High,Priority retention call + targeted offer
CUST102959,35,5398.12,0,3,42.6,Month-to-Month,Debit Card,South,Standard,Yes,1,64777.44,0.9999999989947908,High,Priority retention call + targeted offer
CUST105967,44,5520.98,3,0,45.9,One Year,Debit Card,East,Premium,No,1,66251.76,0.9999999989338688,High,Priority retention call + targeted offer
CUST104897,42,5476.31,1,0,62.8,Month-to-Month,Debit Card,South,Standard,No,1,65715.72,0.9999999989289123,High,Priority retention call + targeted offer
CUST102346,24,5372.88,0,1,51.5,Month-to-Month,Credit Card,East,Basic,No,1,64474.56,0.9999999988008643,High,Priority retention call + targeted offer
CUST105516,38,5410.79,2,0,34.7,Month-to-Month,Cash,West,Premium,Yes,1,64929.48,0.9999999987756287,High,Priority retention call + targeted offer
CUST103143,41,5461.02,3,1,33.4,Two Year,Cash,East,Basic,No,1,65532.24,0.9999999987693422,High,Priority retention call + targeted offer
CUST105063,47,5444.54,3,1,80.2,Month-to-Month,UPI,West,Premium,No,1,65334.48,0.9999999987390702,High,Priority retention call + targeted offer
CUST101501,19,5298.74,1,1,25.4,Month-to-Month,UPI,North,Basic,No,1,63584.88,0.9999999987223853,High,Priority retention call + targeted offer
CUST102936,56,5419.59,0,0,14.9,Month-to-Month,Debit Card,South,Standard,Yes,1,65035.08,0.999999998633986,High,Priority retention call + targeted offer
CUST100165,59,5414.57,1,3,49.0,One Year,Credit Card,South,Basic,No,1,64974.84,0.999999998618128,High,Priority retention call + targeted offer
CUST100069,34,5362.74,3,2,45.1,Month-to-Month,Cash,South,Standard,Yes,1,64352.88,0.9999999986077204,High,Priority retention call + targeted offer
CUST100206,56,5369.42,2,2,39.6,Month-to-Month,Credit Card,South,Premium,Yes,1,64433.04,0.9999999985199204,High,Priority retention call + targeted offer
CUST105819,41,5367.54,2,0,50.2,Month-to-Month,UPI,North,Basic,No,1,64410.48,0.9999999985135808,High,Priority retention call + targeted offer
CUST102954,20,5372.38,2,0,56.5,Month-to-Month,Debit Card,East,Basic,No,1,64468.56,0.9999999984874604,High,Priority retention call + targeted offer
CUST103372,23,5507.26,2,0,73.7,Two Year,Cash,East,Basic,Yes,1,66087.12,0.9999999984866894,High,Priority retention call + targeted offer
CUST103222,56,5503.16,1,1,40.3,One Year,Net Banking,West,Premium,No,1,66037.92,0.9999999983161778,High,Priority retention call + targeted offer
CUST104400,28,5370.19,2,0,29.4,Month-to-Month,Credit Card,East,Standard,Yes,1,64442.28,0.9999999983113801,High,Priority retention call + targeted offer
CUST103452,33,5481.9,5,0,52.9,Two Year,Net Banking,South,Basic,No,1,65782.8,0.999999998260285,High,Priority retention call + targeted offer
CUST101397,48,5220.58,2,6,18.8,Month-to-Month,Debit Card,West,Basic,Yes,1,62646.96,0.9999999981793324,High,Priority retention call + targeted offer
CUST105446,49,5315.66,2,3,20.4,Month-to-Month,Net Banking,North,Basic,Yes,1,63787.92,0.9999999981480081,High,Priority retention call + targeted offer
CUST102696,10,5309.98,6,1,65.0,Month-to-Month,UPI,West,Premium,No,1,63719.76,0.9999999981429137,High,Priority retention call + targeted offer
CUST103727,38,5363.56,1,1,48.4,Month-to-Month,Credit Card,North,Standard,Yes,1,64362.72,0.9999999980362997,High,Priority retention call + targeted offer
CUST104013,36,5351.04,2,0,67.6,Month-to-Month,UPI,South,Basic,No,1,64212.48,0.9999999979740446,High,Priority retention call + targeted offer
CUST102241,48,5465.74,0,1,68.0,One Year,UPI,South,Standard,No,1,65588.88,0.9999999979618719,High,Priority retention call + targeted offer
CUST104045,1,5366.15,2,1,20.7,Two Year,Net Banking,North,Basic,Yes,1,64393.8,0.9999999977635132,High,Priority retention call + targeted offer
CUST103187,30,5398.31,2,0,33.1,One Year,UPI,West,Standard,No,1,64779.72,0.9999999977468208,High,Priority retention call + targeted offer
CUST102139,29,5305.16,2,0,35.5,Month-to-Month,Debit Card,North,Basic,Yes,1,63661.92,0.9999999976814058,High,Priority retention call + targeted offer
CUST100449,21,5266.22,0,1,47.2,Month-to-Month,UPI,North,Basic,No,1,63194.64,0.9999999975191558,High,Priority retention call + targeted offer
CUST103209,17,5358.21,4,0,36.4,One Year,Credit Card,East,Premium,Yes,1,64298.52,0.9999999972318541,High,Priority retention call + targeted offer
CUST102748,30,5284.92,1,1,35.2,Month-to-Month,Credit Card,East,Premium,No,1,63419.04,0.9999999971928202,High,Priority retention call + targeted offer
CUST103862,18,5312.99,0,0,14.2,One Year,UPI,North,Premium,No,1,63755.88,0.9999999971139419,High,Priority retention call + targeted offer
CUST104018,14,5235.94,2,1,15.7,Month-to-Month,Net Banking,North,Basic,No,1,62831.28,0.9999999970859343,High,Priority retention call + targeted offer
CUST103741,22,5392.02,0,0,41.3,One Year,Debit Card,West,Standard,No,1,64704.24,0.9999999970715676,High,Priority retention call + targeted offer
CUST100506,39,5317.51,2,2,54.4,Month-to-Month,Net Banking,West,Basic,No,1,63810.12,0.9999999970659565,High,Priority retention call + targeted offer
CUST103918,5,5276.08,2,2,32.1,Month-to-Month,Net Banking,East,Standard,No,1,63312.96,0.9999999970235409,High,Priority retention call + targeted offer
CUST105385,64,5416.95,2,0,42.3,Month-to-Month,Net Banking,East,Standard,No,1,65003.4,0.9999999968742781,High,Priority retention call + targeted offer
CUST100742,46,5370.87,1,2,17.5,One Year,Net Banking,South,Standard,No,1,64450.44,0.9999999968735889,High,Priority retention call + targeted offer
CUST100026,29,5346.04,0,1,41.3,Two Year,Credit Card,South,Basic,No,1,64152.48,0.9999999968533684,High,Priority retention call + targeted offer
CUST101855,62,5379.32,2,2,43.7,Two Year,UPI,North,Basic,Yes,1,64551.84,0.9999999967874813,High,Priority retention call + targeted offer
CUST101426,49,5350.16,0,1,72.3,Month-to-Month,Credit Card,North,Standard,No,1,64201.92,0.9999999966729562,High,Priority retention call + targeted offer
CUST102050,13,5290.59,1,1,66.5,Month-to-Month,Credit Card,West,Standard,No,1,63487.08,0.9999999966416147,High,Priority retention call + targeted offer
CUST102553,14,5299.67,1,0,44.8,Month-to-Month,UPI,East,Standard,Yes,1,63596.04,0.999999996597273,High,Priority retention call + targeted offer
CUST101678,67,5390.09,1,1,53.9,One Year,Debit Card,North,Basic,No,1,64681.08,0.9999999965749493,High,Priority retention call + targeted offer
CUST102830,67,5320.11,2,1,49.9,Month-to-Month,Cash,West,Basic,Yes,1,63841.32,0.9999999965291753,High,Priority retention call + targeted offer
CUST103382,70,5343.27,2,0,42.4,Month-to-Month,Credit Card,South,Premium,Yes,1,64119.24,0.9999999964968589,High,Priority retention call + targeted offer
CUST103461,69,5305.76,6,1,30.8,Month-to-Month,UPI,West,Standard,Yes,1,63669.12,0.9999999964352075,High,Priority retention call + targeted offer
CUST100648,70,5460.0,1,1,57.9,Two Year,Credit Card,South,Standard,Yes,1,65520.0,0.9999999963395538,High,Priority retention call + targeted offer
CUST102372,5,5184.32,1,1,32.5,Month-to-Month,Credit Card,North,Basic,Yes,1,62211.84,0.9999999962617687,High,Priority retention call + targeted offer
CUST101883,61,5268.96,2,1,36.2,Month-to-Month,UPI,North,Basic,Yes,1,63227.52,0.9999999962389663,High,Priority retention call + targeted offer
CUST102429,20,5315.99,2,2,32.3,Two Year,Credit Card,South,Standard,Yes,1,63791.88,0.9999999961521888,High,Priority retention call + targeted offer
CUST101447,70,5339.24,2,2,33.5,One Year,Debit Card,North,Basic,Yes,1,64070.88,0.9999999961467572,High,Priority retention call + targeted offer
CUST102757,46,5192.39,1,3,25.4,Month-to-Month,UPI,West,Basic,Yes,1,62308.68,0.9999999958448358,High,Priority retention call + targeted offer
CUST101621,1,5159.14,3,2,49.4,Month-to-Month,UPI,North,Basic,Yes,1,61909.68,0.9999999958051624,High,Priority retention call + targeted offer
CUST101873,68,5374.67,3,0,38.8,Month-to-Month,Net Banking,South,Standard,Yes,1,64496.04,0.9999999957372625,High,Priority retention call + targeted offer
CUST104675,27,5232.59,1,2,45.2,Month-to-Month,UPI,South,Standard,Yes,1,62791.08,0.9999999955724506,High,Priority retention call + targeted offer
CUST105952,14,5174.02,3,2,50.1,Month-to-Month,Debit Card,North,Basic,No,1,62088.24,0.9999999955520598,High,Priority retention call + targeted offer
CUST101735,58,5238.15,3,1,39.6,Month-to-Month,Credit Card,West,Basic,No,1,62857.8,0.9999999953128094,High,Priority retention call + targeted offer
CUST101340,39,5228.53,4,1,21.7,Month-to-Month,Debit Card,North,Standard,Yes,1,62742.36,0.9999999952302134,High,Priority retention call + targeted offer
CUST102710,5,5124.73,3,2,40.8,Month-to-Month,Credit Card,North,Basic,No,1,61496.76,0.9999999951266936,High,Priority retention call + targeted offer
CUST103795,20,5214.43,3,0,59.0,Month-to-Month,UPI,South,Basic,No,1,62573.16,0.9999999951207785,High,Priority retention call + targeted offer
CUST102012,12,5278.32,1,2,41.5,Two Year,UPI,North,Standard,No,1,63339.84,0.9999999948643012,High,Priority retention call + targeted offer
CUST101285,4,5091.02,1,4,39.0,Month-to-Month,Credit Card,West,Basic,No,1,61092.24,0.9999999948003202,High,Priority retention call + targeted offer
CUST100519,43,5334.95,1,0,64.7,Month-to-Month,Net Banking,West,Basic,Yes,1,64019.4,0.9999999947787093,High,Priority retention call + targeted offer
